id,title,details,completed,created_at
task-001,"Buy groceries for dinner party","Salmon, asparagus, dessert ingredients, wine",false,2025-10-10T10:30:00
task-002,"Submit COMP2850 Lab 6 worksheet","Include accessibility audit findings and recommendations",true,2025-10-10T11:15:00
task-003,"Book dentist appointment","Checkup and cleaning, prefer evening slots",false,2025-10-10T14:20:00
task-004,"Review pull request for team project","Check code style, test coverage, and documentation",true,2025-10-11T09:00:00
task-005,"Prepare presentation slides for Monday","Include case study, demo screenshots, and speaker notes",false,2025-10-11T10:45:00
task-006,"Call mum about weekend plans","Confirm arrival time and meals",false,2025-10-11T12:00:00
task-007,"Fix broken test in CI pipeline","Update mock objects and assertions",true,2025-10-11T15:30:00
task-008,"Read Chapter 5 of HCI textbook","Focus on user mental models section",false,2025-10-12T08:00:00
task-009,"Schedule meeting with supervisor","Discuss project progress and next steps",false,2025-10-12T09:15:00
task-010,"Update CV with recent projects","Add COMP2850 task manager and HTMX experience",false,2025-10-12T11:00:00
task-011,"Reply to group chat about assignment","Confirm submission deadline and format",true,2025-10-12T13:45:00
task-012,"Organize desk and filing system","Sort papers by project and year",false,2025-10-13T10:00:00
task-013,"Research accessibility testing tools","Compare Axe, WAVE, and Lighthouse",true,2025-10-13T11:30:00
task-014,"Draft blog post about HTMX","Include practical examples and performance tips",false,2025-10-13T14:00:00
task-015,"Practice keyboard shortcuts for IDE","Focus on refactoring and debugging shortcuts",false,2025-10-13T16:20:00
task-016,"Renew library books before due date","Extend loan for HCI and web design books",false,2025-10-14T09:00:00
task-017,"Complete Week 7 accessibility audit","Test all form controls and error messages",true,2025-10-14T10:30:00
task-018,"Buy birthday card for flatmate","Funny or heartfelt design",false,2025-10-14T13:15:00
task-019,"Test application with NVDA screen reader","Verify all page regions are announced",true,2025-10-14T15:00:00
task-020,"Reply to supervisor email about meeting","Confirm availability for next week",false,2025-10-15T08:30:00
task-021,"Backup project files to cloud storage","Include database dumps and config files",false,2025-10-15T11:00:00
task-022,"Review WCAG 2.2 success criteria","Focus on Level AA requirements",true,2025-10-15T14:20:00
task-023,"Plan meals for next week","Check grocery sales and dietary preferences",false,2025-10-15T17:00:00
task-024,"Debug pagination logic in task list","Test edge cases: empty list, single page, boundary items",false,2025-10-16T09:30:00
task-025,"Attend lab session on Thursday","Bring laptop and notes",true,2025-10-16T11:00:00
task-026,"Write unit tests for validation function","Test empty, min length, max length, and special chars",false,2025-10-16T13:45:00
task-027,"Clean kitchen after dinner","Dishes, wiping counters, sweeping",true,2025-10-16T19:00:00
task-028,"Research Progressive Enhancement patterns","Read articles on server-first architecture",false,2025-10-17T08:00:00
task-029,"Submit ethics consent forms","Attach signed documents to email",true,2025-10-17T10:15:00
task-030,"Order new laptop charger","Check compatibility with current model",false,2025-10-17T12:30:00
task-031,"Review Pebble template documentation","Focus on loops and conditionals",false,2025-10-17T14:00:00
task-032,"Prepare questions for supervisor meeting","Research recent papers in field",true,2025-10-18T09:00:00
task-033,"Test keyboard navigation on all pages","Verify tab order and focus indicators",false,2025-10-18T11:30:00
task-034,"Update project README with setup instructions","Include dependencies and environment variables",true,2025-10-18T13:00:00
task-035,"Buy train tickets for weekend trip","Return tickets for Sunday evening",false,2025-10-18T15:45:00
task-036,"Review and merge team pull requests","Run tests before merging",false,2025-10-19T08:30:00
task-037,"Complete pilot study protocol draft","Include participant criteria and data handling",true,2025-10-19T10:00:00
task-038,"Tidy bedroom and vacuum floor","Wash bedding and dust shelves",false,2025-10-19T14:00:00
task-039,"Install axe DevTools browser extension","Run automated accessibility scan",true,2025-10-19T16:20:00
task-040,"Read article on server-first architecture","Take notes on progressive enhancement benefits",false,2025-10-20T09:15:00
task-041,"Create backlog items from pilot findings","Prioritize by impact and effort",true,2025-10-20T11:00:00
task-042,"Pay rent for November","Set up automatic transfer if possible",false,2025-10-20T13:30:00
task-043,"Implement inline edit feature for tasks","Use HTMX for seamless updates",false,2025-10-20T15:00:00
task-044,"Test no-JS mode in Firefox","Disable JavaScript and verify fallback behavior",true,2025-10-21T08:00:00
task-045,"Write self-reflection for portfolio","Discuss learning outcomes and challenges",false,2025-10-21T10:30:00
task-046,"Check ARIA live region announcements","Verify status updates are announced immediately",true,2025-10-21T12:45:00
task-047,"Schedule haircut appointment","Book 2-3 weeks in advance",false,2025-10-21T14:15:00
task-048,"Review prioritisation matrix template","Adapt for project needs",false,2025-10-21T16:00:00
task-049,"Add focus indicators to custom buttons","Use 3px outline with 2px offset",true,2025-10-22T09:30:00
task-050,"Prepare evidence pack for Task 2 submission",false,2025-10-22T11:00:00
